overview_date,name,Erro
2024-12-30 00:00:00,CSHG CHIEFS FIA IE,0.03%
2024-12-30 00:00:00,CSHG YANKEE FIC FIM IE,0.04%
2024-12-30 00:00:00,DODGERS FIA,0.03%
2024-12-30 00:00:00,RAMS FIA,0.03%
2024-12-30 00:00:00,TITANS FIF MULTI,0.03%
2024-12-31 00:00:00,Carteira 1,-0.02%
2024-12-31 00:00:00,CSHG CHIEFS FIA IE,-3.21%
2024-12-31 00:00:00,CSHG YANKEE FIC FIM IE,-3.24%
2024-12-31 00:00:00,DODGERS FIA,-3.21%
2024-12-31 00:00:00,RAMS FIA,-3.21%
2024-12-31 00:00:00,TITANS FIF MULTI,-3.20%
2025-01-02 00:00:00,Carteira 1,-0.01%
2025-01-02 00:00:00,CSHG CHIEFS FIA IE,0.30%
2025-01-02 00:00:00,CSHG YANKEE FIC FIM IE,-0.12%
2025-01-02 00:00:00,DODGERS FIA,0.09%
2025-01-02 00:00:00,RAMS FIA,0.02%
2025-01-02 00:00:00,TITANS FIF MULTI,0.01%
2025-01-03 00:00:00,Carteira 1,-0.01%
2025-01-03 00:00:00,CSHG CHIEFS FIA IE,-0.12%
2025-01-03 00:00:00,CSHG YANKEE FIC FIM IE,0.06%
2025-01-03 00:00:00,DODGERS FIA,0.14%
2025-01-03 00:00:00,RAMS FIA,0.17%
2025-01-03 00:00:00,TITANS FIF MULTI,0.16%
2025-01-06 00:00:00,Carteira 1,-0.02%
2025-01-06 00:00:00,CSHG CHIEFS FIA IE,0.27%
2025-01-06 00:00:00,CSHG YANKEE FIC FIM IE,0.18%
2025-01-06 00:00:00,DODGERS FIA,0.23%
2025-01-06 00:00:00,RAMS FIA,0.20%
2025-01-06 00:00:00,TITANS FIF MULTI,0.20%
2025-01-07 00:00:00,Carteira 1,-0.02%
2025-01-07 00:00:00,CSHG CHIEFS FIA IE,-0.07%
2025-01-07 00:00:00,CSHG YANKEE FIC FIM IE,-0.04%
2025-01-07 00:00:00,DODGERS FIA,-0.08%
2025-01-07 00:00:00,RAMS FIA,-0.04%
2025-01-07 00:00:00,TITANS FIF MULTI,5.50%
2025-01-08 00:00:00,Carteira 1,-0.01%
2025-01-08 00:00:00,CSHG CHIEFS FIA IE,-0.00%
2025-01-08 00:00:00,CSHG YANKEE FIC FIM IE,-0.02%
2025-01-08 00:00:00,DODGERS FIA,-0.01%
2025-01-08 00:00:00,RAMS FIA,-0.00%
2025-01-08 00:00:00,TITANS FIF MULTI,0.02%
2025-01-09 00:00:00,Carteira 1,-0.02%
2025-01-09 00:00:00,CSHG CHIEFS FIA IE,0.06%
2025-01-09 00:00:00,CSHG YANKEE FIC FIM IE,0.02%
2025-01-09 00:00:00,DODGERS FIA,0.07%
2025-01-09 00:00:00,RAMS FIA,0.02%
2025-01-09 00:00:00,TITANS FIF MULTI,0.05%
2025-01-10 00:00:00,Carteira 1,-0.01%
2025-01-10 00:00:00,CSHG CHIEFS FIA IE,-0.14%
2025-01-10 00:00:00,CSHG YANKEE FIC FIM IE,-0.05%
2025-01-10 00:00:00,DODGERS FIA,-0.09%
2025-01-10 00:00:00,RAMS FIA,-0.11%
2025-01-10 00:00:00,TITANS FIF MULTI,-0.12%
2025-01-13 00:00:00,Carteira 1,-0.02%
2025-01-13 00:00:00,CSHG CHIEFS FIA IE,0.06%
2025-01-13 00:00:00,CSHG YANKEE FIC FIM IE,0.06%
2025-01-13 00:00:00,DODGERS FIA,-0.00%
2025-01-13 00:00:00,RAMS FIA,0.07%
2025-01-13 00:00:00,TITANS FIF MULTI,0.06%
2025-01-14 00:00:00,Carteira 1,-0.01%
2025-01-14 00:00:00,CSHG CHIEFS FIA IE,0.10%
2025-01-14 00:00:00,CSHG YANKEE FIC FIM IE,0.07%
2025-01-14 00:00:00,DODGERS FIA,0.08%
2025-01-14 00:00:00,RAMS FIA,0.10%
2025-01-14 00:00:00,TITANS FIF MULTI,0.11%
2025-01-15 00:00:00,Carteira 1,0.42%
2025-01-15 00:00:00,CSHG CHIEFS FIA IE,0.39%
2025-01-15 00:00:00,CSHG YANKEE FIC FIM IE,0.30%
2025-01-15 00:00:00,DODGERS FIA,0.32%
2025-01-15 00:00:00,RAMS FIA,0.40%
2025-01-15 00:00:00,TITANS FIF MULTI,0.41%
2025-01-16 00:00:00,Carteira 1,-0.01%
2025-01-16 00:00:00,CSHG CHIEFS FIA IE,-0.16%
2025-01-16 00:00:00,CSHG YANKEE FIC FIM IE,-0.13%
2025-01-16 00:00:00,DODGERS FIA,-0.08%
2025-01-16 00:00:00,RAMS FIA,-0.17%
2025-01-16 00:00:00,TITANS FIF MULTI,-0.21%
2025-01-17 00:00:00,Carteira 1,-0.02%
2025-01-17 00:00:00,CSHG CHIEFS FIA IE,0.09%
2025-01-17 00:00:00,CSHG YANKEE FIC FIM IE,0.13%
2025-01-17 00:00:00,DODGERS FIA,0.03%
2025-01-17 00:00:00,RAMS FIA,0.09%
2025-01-17 00:00:00,TITANS FIF MULTI,0.08%
2025-01-20 00:00:00,Carteira 1,0.07%
2025-01-20 00:00:00,CSHG CHIEFS FIA IE,0.09%
2025-01-20 00:00:00,CSHG YANKEE FIC FIM IE,0.08%
2025-01-20 00:00:00,DODGERS FIA,0.06%
2025-01-20 00:00:00,RAMS FIA,0.08%
2025-01-20 00:00:00,TITANS FIF MULTI,0.08%
2025-01-21 00:00:00,Carteira 1,-0.02%
2025-01-21 00:00:00,CSHG CHIEFS FIA IE,0.07%
2025-01-21 00:00:00,CSHG YANKEE FIC FIM IE,0.09%
2025-01-21 00:00:00,DODGERS FIA,0.05%
2025-01-21 00:00:00,RAMS FIA,0.06%
2025-01-21 00:00:00,TITANS FIF MULTI,0.05%
2025-01-22 00:00:00,Carteira 1,-0.01%
2025-01-22 00:00:00,CSHG CHIEFS FIA IE,-0.63%
2025-01-22 00:00:00,CSHG YANKEE FIC FIM IE,-0.34%
2025-01-22 00:00:00,DODGERS FIA,-0.25%
2025-01-22 00:00:00,RAMS FIA,-0.31%
2025-01-22 00:00:00,TITANS FIF MULTI,0.02%
2025-01-23 00:00:00,Carteira 1,0.32%
2025-01-23 00:00:00,CSHG CHIEFS FIA IE,0.32%
2025-01-23 00:00:00,CSHG YANKEE FIC FIM IE,0.38%
2025-01-23 00:00:00,DODGERS FIA,0.33%
2025-01-23 00:00:00,RAMS FIA,0.32%
2025-01-23 00:00:00,TITANS FIF MULTI,0.34%
2025-01-24 00:00:00,Carteira 1,0.06%
2025-01-24 00:00:00,CSHG CHIEFS FIA IE,0.06%
2025-01-24 00:00:00,CSHG YANKEE FIC FIM IE,0.05%
2025-01-24 00:00:00,DODGERS FIA,0.05%
2025-01-24 00:00:00,RAMS FIA,0.07%
2025-01-24 00:00:00,TITANS FIF MULTI,0.06%
2025-01-27 00:00:00,Carteira 1,0.19%
2025-01-27 00:00:00,CSHG CHIEFS FIA IE,0.19%
2025-01-27 00:00:00,CSHG YANKEE FIC FIM IE,0.19%
2025-01-27 00:00:00,DODGERS FIA,0.07%
2025-01-27 00:00:00,RAMS FIA,71.08%
2025-01-27 00:00:00,TITANS FIF MULTI,0.18%
2025-01-28 00:00:00,Carteira 1,-0.15%
2025-01-28 00:00:00,CSHG CHIEFS FIA IE,-0.12%
2025-01-28 00:00:00,CSHG YANKEE FIC FIM IE,-0.17%
2025-01-28 00:00:00,DODGERS FIA,0.10%
2025-01-28 00:00:00,RAMS FIA,-0.16%
2025-01-28 00:00:00,TITANS FIF MULTI,-0.14%
2025-01-29 00:00:00,Carteira 1,-0.08%
2025-01-29 00:00:00,CSHG CHIEFS FIA IE,-0.08%
2025-01-29 00:00:00,CSHG YANKEE FIC FIM IE,-0.05%
2025-01-29 00:00:00,DODGERS FIA,-0.05%
2025-01-29 00:00:00,RAMS FIA,-0.05%
2025-01-29 00:00:00,TITANS FIF MULTI,-0.06%
2025-01-30 00:00:00,Carteira 1,-0.03%
2025-01-30 00:00:00,CSHG CHIEFS FIA IE,0.50%
2025-01-30 00:00:00,CSHG YANKEE FIC FIM IE,0.30%
2025-01-30 00:00:00,DODGERS FIA,0.40%
2025-01-30 00:00:00,RAMS FIA,0.45%
2025-01-30 00:00:00,TITANS FIF MULTI,0.44%
2025-01-31 00:00:00,Carteira 1,-0.01%
2025-01-31 00:00:00,CSHG CHIEFS FIA IE,-0.01%
2025-01-31 00:00:00,CSHG YANKEE FIC FIM IE,-0.10%
2025-01-31 00:00:00,DODGERS FIA,0.02%
2025-01-31 00:00:00,RAMS FIA,0.02%
2025-01-31 00:00:00,TITANS FIF MULTI,-0.00%
2025-02-03 00:00:00,Carteira 1,-0.02%
2025-02-03 00:00:00,CSHG CHIEFS FIA IE,0.28%
2025-02-03 00:00:00,CSHG YANKEE FIC FIM IE,0.17%
2025-02-03 00:00:00,DODGERS FIA,0.11%
2025-02-03 00:00:00,RAMS FIA,0.31%
2025-02-03 00:00:00,TITANS FIF MULTI,0.27%
2025-02-04 00:00:00,Carteira 1,-0.01%
2025-02-04 00:00:00,CSHG CHIEFS FIA IE,0.12%
2025-02-04 00:00:00,CSHG YANKEE FIC FIM IE,0.15%
2025-02-04 00:00:00,DODGERS FIA,0.04%
2025-02-04 00:00:00,RAMS FIA,0.10%
2025-02-04 00:00:00,TITANS FIF MULTI,0.11%
2025-02-05 00:00:00,Carteira 1,-0.01%
2025-02-05 00:00:00,CSHG CHIEFS FIA IE,-0.07%
2025-02-05 00:00:00,CSHG YANKEE FIC FIM IE,-0.04%
2025-02-05 00:00:00,DODGERS FIA,-0.09%
2025-02-05 00:00:00,RAMS FIA,-0.07%
2025-02-05 00:00:00,TITANS FIF MULTI,-0.09%
2025-02-06 00:00:00,Carteira 1,0.07%
2025-02-06 00:00:00,CSHG CHIEFS FIA IE,0.09%
2025-02-06 00:00:00,CSHG YANKEE FIC FIM IE,0.08%
2025-02-06 00:00:00,DODGERS FIA,0.08%
2025-02-06 00:00:00,RAMS FIA,0.07%
2025-02-06 00:00:00,TITANS FIF MULTI,0.07%
2025-02-07 00:00:00,Carteira 1,-0.01%
2025-02-07 00:00:00,CSHG CHIEFS FIA IE,-0.25%
2025-02-07 00:00:00,CSHG YANKEE FIC FIM IE,-0.23%
2025-02-07 00:00:00,DODGERS FIA,-0.10%
2025-02-07 00:00:00,RAMS FIA,-0.23%
2025-02-07 00:00:00,TITANS FIF MULTI,-0.23%
2025-02-10 00:00:00,Carteira 1,-0.02%
2025-02-10 00:00:00,CSHG CHIEFS FIA IE,0.14%
2025-02-10 00:00:00,CSHG YANKEE FIC FIM IE,0.14%
2025-02-10 00:00:00,DODGERS FIA,0.07%
2025-02-10 00:00:00,RAMS FIA,0.11%
2025-02-10 00:00:00,TITANS FIF MULTI,0.12%
2025-02-11 00:00:00,Carteira 1,-1.02%
2025-02-11 00:00:00,CSHG CHIEFS FIA IE,0.25%
2025-02-11 00:00:00,CSHG YANKEE FIC FIM IE,0.22%
2025-02-11 00:00:00,DODGERS FIA,0.11%
2025-02-11 00:00:00,RAMS FIA,0.23%
2025-02-11 00:00:00,TITANS FIF MULTI,0.23%
2025-02-12 00:00:00,Carteira 1,-0.04%
2025-02-12 00:00:00,CSHG CHIEFS FIA IE,-0.01%
2025-02-12 00:00:00,CSHG YANKEE FIC FIM IE,0.02%
2025-02-12 00:00:00,DODGERS FIA,-0.10%
2025-02-12 00:00:00,RAMS FIA,-0.02%
2025-02-12 00:00:00,TITANS FIF MULTI,-0.00%
2025-02-13 00:00:00,Carteira 1,-0.02%
2025-02-13 00:00:00,CSHG CHIEFS FIA IE,0.10%
2025-02-13 00:00:00,CSHG YANKEE FIC FIM IE,0.07%
2025-02-13 00:00:00,DODGERS FIA,0.12%
2025-02-13 00:00:00,RAMS FIA,0.08%
2025-02-13 00:00:00,TITANS FIF MULTI,0.09%
2025-02-14 00:00:00,Carteira 1,-1.07%
2025-02-14 00:00:00,CSHG CHIEFS FIA IE,0.34%
2025-02-14 00:00:00,CSHG YANKEE FIC FIM IE,0.26%
2025-02-14 00:00:00,DODGERS FIA,0.25%
2025-02-14 00:00:00,RAMS FIA,0.39%
2025-02-14 00:00:00,TITANS FIF MULTI,0.33%
2025-02-17 00:00:00,Carteira 1,-1.07%
2025-02-17 00:00:00,CSHG CHIEFS FIA IE,0.31%
2025-02-17 00:00:00,CSHG YANKEE FIC FIM IE,0.22%
2025-02-17 00:00:00,DODGERS FIA,0.19%
2025-02-17 00:00:00,RAMS FIA,0.32%
2025-02-17 00:00:00,TITANS FIF MULTI,0.32%
2025-02-18 00:00:00,Carteira 1,-1.07%
2025-02-18 00:00:00,CSHG CHIEFS FIA IE,0.16%
2025-02-18 00:00:00,CSHG YANKEE FIC FIM IE,0.14%
2025-02-18 00:00:00,DODGERS FIA,0.02%
2025-02-18 00:00:00,RAMS FIA,0.15%
2025-02-18 00:00:00,TITANS FIF MULTI,0.16%
2025-02-19 00:00:00,Carteira 1,-1.36%
2025-02-19 00:00:00,CSHG CHIEFS FIA IE,-0.27%
2025-02-19 00:00:00,CSHG YANKEE FIC FIM IE,-0.25%
2025-02-19 00:00:00,DODGERS FIA,-0.11%
2025-02-19 00:00:00,RAMS FIA,-0.25%
2025-02-19 00:00:00,TITANS FIF MULTI,-0.27%
2025-02-20 00:00:00,Carteira 1,-0.02%
2025-02-20 00:00:00,CSHG CHIEFS FIA IE,0.06%
2025-02-20 00:00:00,CSHG YANKEE FIC FIM IE,0.05%
2025-02-20 00:00:00,DODGERS FIA,0.05%
2025-02-20 00:00:00,RAMS FIA,0.05%
2025-02-20 00:00:00,TITANS FIF MULTI,0.07%
2025-02-21 00:00:00,Carteira 1,-0.02%
2025-02-21 00:00:00,CSHG CHIEFS FIA IE,-0.13%
2025-02-21 00:00:00,CSHG YANKEE FIC FIM IE,-0.20%
2025-02-21 00:00:00,DODGERS FIA,0.04%
2025-02-21 00:00:00,RAMS FIA,-0.10%
2025-02-21 00:00:00,TITANS FIF MULTI,-0.12%
2025-02-24 00:00:00,Carteira 1,-0.22%
2025-02-24 00:00:00,CSHG CHIEFS FIA IE,-0.19%
2025-02-24 00:00:00,CSHG YANKEE FIC FIM IE,-0.18%
2025-02-24 00:00:00,DODGERS FIA,-0.10%
2025-02-24 00:00:00,RAMS FIA,-0.19%
2025-02-24 00:00:00,TITANS FIF MULTI,-0.16%
2025-02-25 00:00:00,Carteira 1,-0.02%
2025-02-25 00:00:00,CSHG CHIEFS FIA IE,-0.01%
2025-02-25 00:00:00,CSHG YANKEE FIC FIM IE,-0.01%
2025-02-25 00:00:00,DODGERS FIA,-0.00%
2025-02-25 00:00:00,RAMS FIA,0.04%
2025-02-25 00:00:00,TITANS FIF MULTI,-0.01%
2025-02-26 00:00:00,Carteira 1,-0.03%
2025-02-26 00:00:00,CSHG CHIEFS FIA IE,-0.01%
2025-02-26 00:00:00,CSHG YANKEE FIC FIM IE,0.04%
2025-02-26 00:00:00,DODGERS FIA,-0.04%
2025-02-26 00:00:00,RAMS FIA,-0.06%
2025-02-26 00:00:00,TITANS FIF MULTI,-0.00%
2025-02-27 00:00:00,Carteira 1,-0.02%
2025-02-27 00:00:00,CSHG CHIEFS FIA IE,1.15%
2025-02-27 00:00:00,CSHG YANKEE FIC FIM IE,1.17%
2025-02-27 00:00:00,DODGERS FIA,1.13%
2025-02-27 00:00:00,RAMS FIA,1.20%
2025-02-27 00:00:00,TITANS FIF MULTI,1.15%
2025-02-28 00:00:00,Carteira 1,-0.15%
2025-02-28 00:00:00,CSHG CHIEFS FIA IE,-0.11%
2025-02-28 00:00:00,CSHG YANKEE FIC FIM IE,-0.05%
2025-02-28 00:00:00,DODGERS FIA,-0.06%
2025-02-28 00:00:00,RAMS FIA,-0.18%
2025-02-28 00:00:00,TITANS FIF MULTI,-0.12%
2025-03-05 00:00:00,Carteira 1,-0.02%
2025-03-05 00:00:00,CSHG CHIEFS FIA IE,0.29%
2025-03-05 00:00:00,CSHG YANKEE FIC FIM IE,0.19%
2025-03-05 00:00:00,DODGERS FIA,0.64%
2025-03-05 00:00:00,RAMS FIA,0.31%
2025-03-05 00:00:00,TITANS FIF MULTI,0.30%
2025-03-06 00:00:00,Carteira 1,-0.02%
2025-03-06 00:00:00,CSHG CHIEFS FIA IE,-0.03%
2025-03-06 00:00:00,CSHG YANKEE FIC FIM IE,0.01%
2025-03-06 00:00:00,DODGERS FIA,-0.04%
2025-03-06 00:00:00,RAMS FIA,0.02%
2025-03-06 00:00:00,TITANS FIF MULTI,-0.01%
2025-03-07 00:00:00,Carteira 1,-0.02%
2025-03-07 00:00:00,CSHG CHIEFS FIA IE,0.09%
2025-03-07 00:00:00,CSHG YANKEE FIC FIM IE,0.03%
2025-03-07 00:00:00,DODGERS FIA,0.16%
2025-03-07 00:00:00,RAMS FIA,0.11%
2025-03-07 00:00:00,TITANS FIF MULTI,0.08%
2025-03-10 00:00:00,Carteira 1,-0.01%
2025-03-10 00:00:00,CSHG CHIEFS FIA IE,-0.31%
2025-03-10 00:00:00,CSHG YANKEE FIC FIM IE,-0.29%
2025-03-10 00:00:00,DODGERS FIA,-0.13%
2025-03-10 00:00:00,RAMS FIA,-0.25%
2025-03-10 00:00:00,TITANS FIF MULTI,-0.29%
2025-03-11 00:00:00,Carteira 1,-0.02%
2025-03-11 00:00:00,CSHG CHIEFS FIA IE,0.22%
2025-03-11 00:00:00,CSHG YANKEE FIC FIM IE,0.11%
2025-03-11 00:00:00,DODGERS FIA,0.16%
2025-03-11 00:00:00,RAMS FIA,0.18%
2025-03-11 00:00:00,TITANS FIF MULTI,0.22%
2025-03-12 00:00:00,Carteira 1,0.22%
2025-03-12 00:00:00,CSHG CHIEFS FIA IE,0.25%
2025-03-12 00:00:00,CSHG YANKEE FIC FIM IE,0.27%
2025-03-12 00:00:00,DODGERS FIA,0.04%
2025-03-12 00:00:00,RAMS FIA,0.20%
2025-03-12 00:00:00,TITANS FIF MULTI,0.22%
2025-03-13 00:00:00,Carteira 1,-0.02%
2025-03-13 00:00:00,CSHG CHIEFS FIA IE,0.18%
2025-03-13 00:00:00,CSHG YANKEE FIC FIM IE,0.14%
2025-03-13 00:00:00,DODGERS FIA,0.05%
2025-03-13 00:00:00,RAMS FIA,0.25%
2025-03-13 00:00:00,TITANS FIF MULTI,0.20%
2025-03-14 00:00:00,Carteira 1,0.17%
2025-03-14 00:00:00,CSHG CHIEFS FIA IE,0.15%
2025-03-14 00:00:00,CSHG YANKEE FIC FIM IE,0.20%
2025-03-14 00:00:00,DODGERS FIA,0.10%
2025-03-14 00:00:00,RAMS FIA,0.16%
2025-03-14 00:00:00,TITANS FIF MULTI,0.13%
2025-03-17 00:00:00,Carteira 1,0.17%
2025-03-17 00:00:00,CSHG CHIEFS FIA IE,0.17%
2025-03-17 00:00:00,CSHG YANKEE FIC FIM IE,0.13%
2025-03-17 00:00:00,DODGERS FIA,0.12%
2025-03-17 00:00:00,RAMS FIA,0.19%
2025-03-17 00:00:00,TITANS FIF MULTI,0.15%
2025-03-18 00:00:00,Carteira 1,-0.13%
2025-03-18 00:00:00,CSHG CHIEFS FIA IE,-0.11%
2025-03-18 00:00:00,CSHG YANKEE FIC FIM IE,-0.16%
2025-03-18 00:00:00,DODGERS FIA,0.01%
2025-03-18 00:00:00,RAMS FIA,-0.06%
2025-03-18 00:00:00,TITANS FIF MULTI,-0.10%
2025-03-19 00:00:00,Carteira 1,-0.02%
2025-03-19 00:00:00,CSHG CHIEFS FIA IE,0.07%
2025-03-19 00:00:00,CSHG YANKEE FIC FIM IE,0.06%
2025-03-19 00:00:00,DODGERS FIA,0.14%
2025-03-19 00:00:00,RAMS FIA,0.07%
2025-03-19 00:00:00,TITANS FIF MULTI,0.05%
2025-03-20 00:00:00,Carteira 1,-0.01%
2025-03-20 00:00:00,CSHG CHIEFS FIA IE,-0.29%
2025-03-20 00:00:00,CSHG YANKEE FIC FIM IE,-0.19%
2025-03-20 00:00:00,DODGERS FIA,-0.11%
2025-03-20 00:00:00,RAMS FIA,-0.31%
2025-03-20 00:00:00,TITANS FIF MULTI,-0.31%
2025-03-21 00:00:00,Carteira 1,-0.02%
2025-03-21 00:00:00,CSHG CHIEFS FIA IE,0.28%
2025-03-21 00:00:00,CSHG YANKEE FIC FIM IE,0.32%
2025-03-21 00:00:00,DODGERS FIA,-0.02%
2025-03-21 00:00:00,RAMS FIA,0.27%
2025-03-21 00:00:00,TITANS FIF MULTI,0.31%
2025-03-24 00:00:00,Carteira 1,-0.01%
2025-03-24 00:00:00,CSHG CHIEFS FIA IE,-0.06%
2025-03-24 00:00:00,CSHG YANKEE FIC FIM IE,-0.04%
2025-03-24 00:00:00,DODGERS FIA,0.05%
2025-03-24 00:00:00,RAMS FIA,-0.14%
2025-03-24 00:00:00,TITANS FIF MULTI,-0.06%
2025-03-25 00:00:00,Carteira 1,0.11%
2025-03-25 00:00:00,CSHG CHIEFS FIA IE,0.10%
2025-03-25 00:00:00,CSHG YANKEE FIC FIM IE,0.15%
2025-03-25 00:00:00,DODGERS FIA,0.07%
2025-03-25 00:00:00,RAMS FIA,0.12%
2025-03-25 00:00:00,TITANS FIF MULTI,0.09%
2025-03-26 00:00:00,Carteira 1,-0.20%
2025-03-26 00:00:00,CSHG CHIEFS FIA IE,-0.24%
2025-03-26 00:00:00,CSHG YANKEE FIC FIM IE,-0.13%
2025-03-26 00:00:00,DODGERS FIA,-0.06%
2025-03-26 00:00:00,RAMS FIA,-0.09%
2025-03-26 00:00:00,TITANS FIF MULTI,-0.18%
2025-03-27 00:00:00,Carteira 1,1.10%
2025-03-27 00:00:00,CSHG CHIEFS FIA IE,1.13%
2025-03-27 00:00:00,CSHG YANKEE FIC FIM IE,1.08%
2025-03-27 00:00:00,DODGERS FIA,1.19%
2025-03-27 00:00:00,RAMS FIA,1.11%
2025-03-27 00:00:00,TITANS FIF MULTI,1.12%
2025-03-28 00:00:00,Carteira 1,0.26%
2025-03-28 00:00:00,CSHG CHIEFS FIA IE,0.23%
2025-03-28 00:00:00,CSHG YANKEE FIC FIM IE,0.27%
2025-03-28 00:00:00,DODGERS FIA,0.16%
2025-03-28 00:00:00,RAMS FIA,0.34%
2025-03-28 00:00:00,TITANS FIF MULTI,0.31%
2025-03-31 00:00:00,Carteira 1,-0.02%
2025-03-31 00:00:00,CSHG CHIEFS FIA IE,-0.13%
2025-03-31 00:00:00,CSHG YANKEE FIC FIM IE,-0.12%
2025-03-31 00:00:00,DODGERS FIA,0.07%
2025-03-31 00:00:00,RAMS FIA,-0.08%
2025-03-31 00:00:00,TITANS FIF MULTI,-0.05%
2025-04-01 00:00:00,Carteira 1,-0.02%
2025-04-01 00:00:00,CSHG CHIEFS FIA IE,0.17%
2025-04-01 00:00:00,CSHG YANKEE FIC FIM IE,0.16%
2025-04-01 00:00:00,DODGERS FIA,0.14%
2025-04-01 00:00:00,RAMS FIA,0.20%
2025-04-01 00:00:00,TITANS FIF MULTI,0.19%
2025-04-02 00:00:00,Carteira 1,-0.02%
2025-04-02 00:00:00,CSHG CHIEFS FIA IE,0.32%
2025-04-02 00:00:00,CSHG YANKEE FIC FIM IE,0.26%
2025-04-02 00:00:00,DODGERS FIA,0.02%
2025-04-02 00:00:00,RAMS FIA,0.20%
2025-04-02 00:00:00,TITANS FIF MULTI,0.24%
2025-04-03 00:00:00,Carteira 1,-0.02%
2025-04-03 00:00:00,CSHG CHIEFS FIA IE,0.22%
2025-04-03 00:00:00,CSHG YANKEE FIC FIM IE,0.01%
2025-04-03 00:00:00,DODGERS FIA,0.06%
2025-04-03 00:00:00,RAMS FIA,0.37%
2025-04-03 00:00:00,TITANS FIF MULTI,0.19%
2025-04-04 00:00:00,Carteira 1,-0.02%
2025-04-04 00:00:00,CSHG CHIEFS FIA IE,-0.15%
2025-04-04 00:00:00,CSHG YANKEE FIC FIM IE,-0.22%
2025-04-04 00:00:00,DODGERS FIA,-0.13%
2025-04-04 00:00:00,RAMS FIA,-0.15%
2025-04-04 00:00:00,TITANS FIF MULTI,-0.11%
2025-04-07 00:00:00,Carteira 1,-0.01%
2025-04-07 00:00:00,CSHG CHIEFS FIA IE,-0.05%
2025-04-07 00:00:00,CSHG YANKEE FIC FIM IE,-0.11%
2025-04-07 00:00:00,DODGERS FIA,0.04%
2025-04-07 00:00:00,RAMS FIA,-0.13%
2025-04-07 00:00:00,TITANS FIF MULTI,-0.06%
2025-04-08 00:00:00,Carteira 1,-0.01%
