overview_date,name,Erro
2025-04-08 00:00:00,CSHG CHIEFS FIA IE,-0.29%
2025-04-08 00:00:00,CSHG YANKEE FIC FIM IE,-0.36%
2025-04-08 00:00:00,DODGERS FIA,-0.12%
2025-04-08 00:00:00,RAMS FIA,-0.36%
2025-04-08 00:00:00,TITANS FIF MULTI,-0.37%
2025-04-09 00:00:00,Carteira 1,-0.02%
2025-04-09 00:00:00,CSHG CHIEFS FIA IE,0.49%
2025-04-09 00:00:00,CSHG YANKEE FIC FIM IE,0.61%
2025-04-09 00:00:00,DODGERS FIA,0.43%
2025-04-09 00:00:00,RAMS FIA,0.33%
2025-04-09 00:00:00,TITANS FIF MULTI,0.49%
2025-04-10 00:00:00,Carteira 1,-0.01%
2025-04-10 00:00:00,CSHG CHIEFS FIA IE,-0.34%
2025-04-10 00:00:00,CSHG YANKEE FIC FIM IE,-0.35%
2025-04-10 00:00:00,DODGERS FIA,-0.23%
2025-04-10 00:00:00,RAMS FIA,-0.25%
2025-04-10 00:00:00,TITANS FIF MULTI,-0.34%
2025-04-11 00:00:00,Carteira 1,-0.02%
2025-04-11 00:00:00,CSHG CHIEFS FIA IE,0.27%
2025-04-11 00:00:00,CSHG YANKEE FIC FIM IE,0.18%
2025-04-11 00:00:00,DODGERS FIA,0.30%
2025-04-11 00:00:00,RAMS FIA,0.24%
2025-04-11 00:00:00,TITANS FIF MULTI,0.26%
2025-04-14 00:00:00,Carteira 1,-0.02%
2025-04-14 00:00:00,CSHG CHIEFS FIA IE,0.30%
2025-04-14 00:00:00,CSHG YANKEE FIC FIM IE,0.23%
2025-04-14 00:00:00,DODGERS FIA,0.20%
2025-04-14 00:00:00,RAMS FIA,0.34%
2025-04-14 00:00:00,TITANS FIF MULTI,0.29%
2025-04-15 00:00:00,Carteira 1,-0.02%
2025-04-15 00:00:00,CSHG CHIEFS FIA IE,-0.02%
2025-04-15 00:00:00,CSHG YANKEE FIC FIM IE,-0.05%
2025-04-15 00:00:00,DODGERS FIA,-0.08%
2025-04-15 00:00:00,RAMS FIA,0.02%
2025-04-15 00:00:00,TITANS FIF MULTI,-0.07%
2025-04-16 00:00:00,Carteira 1,-0.02%
2025-04-16 00:00:00,CSHG CHIEFS FIA IE,-0.01%
2025-04-16 00:00:00,CSHG YANKEE FIC FIM IE,-0.10%
2025-04-16 00:00:00,DODGERS FIA,-0.08%
2025-04-16 00:00:00,RAMS FIA,0.05%
2025-04-16 00:00:00,TITANS FIF MULTI,-0.03%
2025-04-17 00:00:00,Carteira 1,0.24%
2025-04-17 00:00:00,CSHG CHIEFS FIA IE,0.23%
2025-04-17 00:00:00,CSHG YANKEE FIC FIM IE,0.20%
2025-04-17 00:00:00,DODGERS FIA,0.22%
2025-04-17 00:00:00,RAMS FIA,0.19%
2025-04-17 00:00:00,TITANS FIF MULTI,0.22%
2025-04-22 00:00:00,Carteira 1,0.03%
2025-04-22 00:00:00,CSHG CHIEFS FIA IE,0.01%
2025-04-22 00:00:00,CSHG YANKEE FIC FIM IE,0.05%
2025-04-22 00:00:00,DODGERS FIA,-0.17%
2025-04-22 00:00:00,RAMS FIA,0.08%
2025-04-22 00:00:00,TITANS FIF MULTI,0.03%
2025-04-23 00:00:00,Carteira 1,0.61%
2025-04-23 00:00:00,CSHG CHIEFS FIA IE,0.61%
2025-04-23 00:00:00,CSHG YANKEE FIC FIM IE,0.52%
2025-04-23 00:00:00,DODGERS FIA,0.46%
2025-04-23 00:00:00,RAMS FIA,0.58%
2025-04-23 00:00:00,TITANS FIF MULTI,0.59%
2025-04-24 00:00:00,Carteira 1,1.09%
2025-04-24 00:00:00,CSHG CHIEFS FIA IE,1.08%
2025-04-24 00:00:00,CSHG YANKEE FIC FIM IE,0.93%
2025-04-24 00:00:00,DODGERS FIA,0.18%
2025-04-24 00:00:00,RAMS FIA,1.04%
2025-04-24 00:00:00,TITANS FIF MULTI,1.04%
2025-04-25 00:00:00,Carteira 1,0.43%
2025-04-25 00:00:00,CSHG CHIEFS FIA IE,0.47%
2025-04-25 00:00:00,CSHG YANKEE FIC FIM IE,0.45%
2025-04-25 00:00:00,DODGERS FIA,0.28%
2025-04-25 00:00:00,RAMS FIA,0.39%
2025-04-25 00:00:00,TITANS FIF MULTI,0.43%
2025-04-28 00:00:00,Carteira 1,-0.36%
2025-04-28 00:00:00,CSHG CHIEFS FIA IE,-0.31%
2025-04-28 00:00:00,CSHG YANKEE FIC FIM IE,-0.38%
2025-04-28 00:00:00,DODGERS FIA,0.01%
2025-04-28 00:00:00,RAMS FIA,-0.31%
2025-04-28 00:00:00,TITANS FIF MULTI,-0.34%
2025-04-29 00:00:00,Carteira 1,0.78%
2025-04-29 00:00:00,CSHG CHIEFS FIA IE,0.79%
2025-04-29 00:00:00,CSHG YANKEE FIC FIM IE,0.78%
2025-04-29 00:00:00,DODGERS FIA,0.70%
2025-04-29 00:00:00,RAMS FIA,0.77%
2025-04-29 00:00:00,TITANS FIF MULTI,0.80%
2025-04-30 00:00:00,Carteira 1,-0.02%
2025-04-30 00:00:00,CSHG CHIEFS FIA IE,0.39%
2025-04-30 00:00:00,CSHG YANKEE FIC FIM IE,0.23%
2025-04-30 00:00:00,DODGERS FIA,0.03%
2025-04-30 00:00:00,RAMS FIA,0.32%
2025-04-30 00:00:00,TITANS FIF MULTI,0.30%
2025-05-02 00:00:00,Carteira 1,-0.01%
2025-05-02 00:00:00,CSHG CHIEFS FIA IE,-0.26%
2025-05-02 00:00:00,CSHG YANKEE FIC FIM IE,-0.21%
2025-05-02 00:00:00,DODGERS FIA,0.18%
2025-05-02 00:00:00,RAMS FIA,-0.37%
2025-05-02 00:00:00,TITANS FIF MULTI,-0.25%
2025-05-05 00:00:00,Carteira 1,-0.01%
2025-05-05 00:00:00,CSHG CHIEFS FIA IE,-0.15%
2025-05-05 00:00:00,CSHG YANKEE FIC FIM IE,-0.17%
2025-05-05 00:00:00,DODGERS FIA,-0.15%
2025-05-05 00:00:00,RAMS FIA,-0.19%
2025-05-05 00:00:00,TITANS FIF MULTI,-0.21%
2025-05-06 00:00:00,Carteira 1,-0.02%
2025-05-06 00:00:00,CSHG CHIEFS FIA IE,0.27%
2025-05-06 00:00:00,CSHG YANKEE FIC FIM IE,0.26%
2025-05-06 00:00:00,DODGERS FIA,0.19%
2025-05-06 00:00:00,RAMS FIA,0.34%
2025-05-06 00:00:00,TITANS FIF MULTI,0.34%
2025-05-07 00:00:00,Carteira 1,-0.02%
2025-05-07 00:00:00,CSHG CHIEFS FIA IE,-0.15%
2025-05-07 00:00:00,CSHG YANKEE FIC FIM IE,-0.16%
2025-05-07 00:00:00,DODGERS FIA,0.02%
2025-05-07 00:00:00,RAMS FIA,-0.15%
2025-05-07 00:00:00,TITANS FIF MULTI,-0.15%
2025-05-08 00:00:00,Carteira 1,-0.02%
2025-05-08 00:00:00,CSHG CHIEFS FIA IE,0.16%
2025-05-08 00:00:00,CSHG YANKEE FIC FIM IE,0.10%
2025-05-08 00:00:00,DODGERS FIA,0.19%
2025-05-08 00:00:00,RAMS FIA,0.19%
2025-05-08 00:00:00,TITANS FIF MULTI,0.14%
2025-05-09 00:00:00,Carteira 1,0.11%
2025-05-09 00:00:00,CSHG CHIEFS FIA IE,0.14%
2025-05-09 00:00:00,CSHG YANKEE FIC FIM IE,0.09%
2025-05-09 00:00:00,CSHG YANKEE II CIC FIF - MULT CRED PRIV RESP LIMITADA,0.12%
2025-05-09 00:00:00,DODGERS FIA,0.04%
2025-05-09 00:00:00,RAMS FIA,0.13%
2025-05-09 00:00:00,TITANS FIF MULTI,0.11%
2025-05-12 00:00:00,Carteira 1,-0.02%
2025-05-12 00:00:00,CSHG CHIEFS FIA IE,0.15%
2025-05-12 00:00:00,CSHG YANKEE FIC FIM IE,0.19%
2025-05-12 00:00:00,CSHG YANKEE II CIC FIF - MULT CRED PRIV RESP LIMITADA,0.17%
2025-05-12 00:00:00,DODGERS FIA,0.13%
2025-05-12 00:00:00,RAMS FIA,0.05%
2025-05-12 00:00:00,TITANS FIF MULTI,0.18%
2025-05-13 00:00:00,Carteira 1,-0.02%
2025-05-13 00:00:00,CSHG CHIEFS FIA IE,0.23%
2025-05-13 00:00:00,CSHG YANKEE FIC FIM IE,0.24%
2025-05-13 00:00:00,CSHG YANKEE II CIC FIF - MULT CRED PRIV RESP LIMITADA,0.27%
2025-05-13 00:00:00,DODGERS FIA,0.18%
2025-05-13 00:00:00,RAMS FIA,0.25%
2025-05-13 00:00:00,TITANS FIF MULTI,0.22%
2025-05-14 00:00:00,Carteira 1,-0.02%
2025-05-14 00:00:00,CSHG CHIEFS FIA IE,0.44%
2025-05-14 00:00:00,CSHG YANKEE FIC FIM IE,0.49%
2025-05-14 00:00:00,CSHG YANKEE II CIC FIF - MULT CRED PRIV RESP LIMITADA,0.45%
2025-05-14 00:00:00,DODGERS FIA,0.11%
2025-05-14 00:00:00,RAMS FIA,0.35%
2025-05-14 00:00:00,TITANS FIF MULTI,0.45%
2025-05-15 00:00:00,Carteira 1,-0.02%
2025-05-15 00:00:00,CSHG CHIEFS FIA IE,0.20%
2025-05-15 00:00:00,CSHG YANKEE FIC FIM IE,0.17%
2025-05-15 00:00:00,CSHG YANKEE II CIC FIF - MULT CRED PRIV RESP LIMITADA,0.19%
2025-05-15 00:00:00,DODGERS FIA,0.08%
2025-05-15 00:00:00,RAMS FIA,0.15%
2025-05-15 00:00:00,TITANS FIF MULTI,0.17%
2025-05-16 00:00:00,Carteira 1,-0.02%
2025-05-16 00:00:00,CSHG CHIEFS FIA IE,0.21%
2025-05-16 00:00:00,CSHG YANKEE FIC FIM IE,0.08%
2025-05-16 00:00:00,CSHG YANKEE II CIC FIF - MULT CRED PRIV RESP LIMITADA,0.15%
2025-05-16 00:00:00,DODGERS FIA,0.07%
2025-05-16 00:00:00,RAMS FIA,0.12%
2025-05-16 00:00:00,TITANS FIF MULTI,0.14%
2025-05-19 00:00:00,Carteira 1,0.09%
2025-05-19 00:00:00,CSHG CHIEFS FIA IE,0.13%
2025-05-19 00:00:00,CSHG YANKEE FIC FIM IE,0.06%
2025-05-19 00:00:00,CSHG YANKEE II CIC FIF - MULT CRED PRIV RESP LIMITADA,0.11%
2025-05-19 00:00:00,DODGERS FIA,0.07%
2025-05-19 00:00:00,RAMS FIA,0.13%
2025-05-19 00:00:00,TITANS FIF MULTI,0.10%
2025-05-20 00:00:00,Carteira 1,-0.02%
2025-05-20 00:00:00,CSHG CHIEFS FIA IE,-0.12%
2025-05-20 00:00:00,CSHG YANKEE FIC FIM IE,-0.09%
2025-05-20 00:00:00,CSHG YANKEE II CIC FIF - MULT CRED PRIV RESP LIMITADA,-0.11%
2025-05-20 00:00:00,DODGERS FIA,-0.01%
2025-05-20 00:00:00,RAMS FIA,-0.13%
2025-05-20 00:00:00,TITANS FIF MULTI,-0.12%
2025-05-21 00:00:00,Carteira 1,-0.47%
2025-05-21 00:00:00,CSHG CHIEFS FIA IE,-0.44%
2025-05-21 00:00:00,CSHG YANKEE FIC FIM IE,-0.38%
2025-05-21 00:00:00,CSHG YANKEE II CIC FIF - MULT CRED PRIV RESP LIMITADA,-0.46%
2025-05-21 00:00:00,DODGERS FIA,-0.10%
2025-05-21 00:00:00,RAMS FIA,-0.45%
2025-05-21 00:00:00,TITANS FIF MULTI,-0.41%
2025-05-22 00:00:00,Carteira 1,0.21%
2025-05-22 00:00:00,CSHG CHIEFS FIA IE,0.25%
2025-05-22 00:00:00,CSHG YANKEE FIC FIM IE,0.19%
2025-05-22 00:00:00,CSHG YANKEE II CIC FIF - MULT CRED PRIV RESP LIMITADA,0.23%
2025-05-22 00:00:00,DODGERS FIA,0.06%
2025-05-22 00:00:00,RAMS FIA,0.19%
2025-05-22 00:00:00,TITANS FIF MULTI,0.23%
2025-05-23 00:00:00,Carteira 1,0.13%
2025-05-23 00:00:00,CSHG CHIEFS FIA IE,0.16%
2025-05-23 00:00:00,CSHG YANKEE FIC FIM IE,0.13%
2025-05-23 00:00:00,CSHG YANKEE II CIC FIF - MULT CRED PRIV RESP LIMITADA,0.15%
2025-05-23 00:00:00,DODGERS FIA,0.07%
2025-05-23 00:00:00,RAMS FIA,0.18%
2025-05-23 00:00:00,TITANS FIF MULTI,0.15%
2025-05-26 00:00:00,Carteira 1,-0.02%
2025-05-26 00:00:00,CSHG CHIEFS FIA IE,0.31%
2025-05-26 00:00:00,CSHG YANKEE FIC FIM IE,0.32%
2025-05-26 00:00:00,CSHG YANKEE II CIC FIF - MULT CRED PRIV RESP LIMITADA,0.33%
2025-05-26 00:00:00,DODGERS FIA,0.07%
2025-05-26 00:00:00,RAMS FIA,0.33%
2025-05-26 00:00:00,TITANS FIF MULTI,0.31%
2025-05-27 00:00:00,Carteira 1,-0.02%
2025-05-27 00:00:00,CSHG CHIEFS FIA IE,0.41%
2025-05-27 00:00:00,CSHG YANKEE FIC FIM IE,0.32%
2025-05-27 00:00:00,CSHG YANKEE II CIC FIF - MULT CRED PRIV RESP LIMITADA,0.43%
2025-05-27 00:00:00,DODGERS FIA,0.26%
2025-05-27 00:00:00,RAMS FIA,0.36%
2025-05-27 00:00:00,TITANS FIF MULTI,0.39%
2025-05-28 00:00:00,Carteira 1,-0.22%
2025-05-28 00:00:00,CSHG CHIEFS FIA IE,-0.17%
2025-05-28 00:00:00,CSHG YANKEE FIC FIM IE,-0.18%
2025-05-28 00:00:00,CSHG YANKEE II CIC FIF - MULT CRED PRIV RESP LIMITADA,-0.21%
2025-05-28 00:00:00,DODGERS FIA,-0.05%
2025-05-28 00:00:00,RAMS FIA,-0.21%
2025-05-28 00:00:00,TITANS FIF MULTI,-0.19%
2025-05-29 00:00:00,Carteira 1,-0.02%
2025-05-29 00:00:00,CSHG CHIEFS FIA IE,0.09%
2025-05-29 00:00:00,CSHG YANKEE FIC FIM IE,0.07%
2025-05-29 00:00:00,CSHG YANKEE II CIC FIF - MULT CRED PRIV RESP LIMITADA,0.09%
2025-05-29 00:00:00,DODGERS FIA,0.03%
2025-05-29 00:00:00,RAMS FIA,0.09%
2025-05-29 00:00:00,TITANS FIF MULTI,0.08%
2025-05-30 00:00:00,Carteira 1,0.18%
2025-05-30 00:00:00,CSHG CHIEFS FIA IE,0.23%
2025-05-30 00:00:00,CSHG YANKEE FIC FIM IE,0.25%
2025-05-30 00:00:00,CSHG YANKEE II CIC FIF - MULT CRED PRIV RESP LIMITADA,0.20%
2025-05-30 00:00:00,DODGERS FIA,0.22%
2025-05-30 00:00:00,RAMS FIA,0.19%
2025-05-30 00:00:00,TITANS FIF MULTI,0.20%
2025-06-02 00:00:00,Carteira 1,0.00%
2025-06-02 00:00:00,CSHG CHIEFS FIA IE,0.03%
2025-06-02 00:00:00,CSHG YANKEE FIC FIM IE,0.05%
2025-06-02 00:00:00,CSHG YANKEE II CIC FIF - MULT CRED PRIV RESP LIMITADA,0.03%
2025-06-02 00:00:00,DODGERS FIA,0.03%
2025-06-02 00:00:00,RAMS FIA,-0.00%
2025-06-02 00:00:00,TITANS FIF MULTI,0.02%
2025-06-03 00:00:00,Carteira 1,0.19%
2025-06-03 00:00:00,CSHG CHIEFS FIA IE,0.20%
2025-06-03 00:00:00,CSHG YANKEE FIC FIM IE,0.17%
2025-06-03 00:00:00,CSHG YANKEE II CIC FIF - MULT CRED PRIV RESP LIMITADA,0.21%
2025-06-03 00:00:00,DODGERS FIA,0.09%
2025-06-03 00:00:00,RAMS FIA,0.21%
2025-06-03 00:00:00,TITANS FIF MULTI,0.19%
2025-06-04 00:00:00,Carteira 1,0.27%
2025-06-04 00:00:00,CSHG CHIEFS FIA IE,0.30%
2025-06-04 00:00:00,CSHG YANKEE FIC FIM IE,0.26%
2025-06-04 00:00:00,CSHG YANKEE II CIC FIF - MULT CRED PRIV RESP LIMITADA,0.29%
2025-06-04 00:00:00,DODGERS FIA,0.07%
2025-06-04 00:00:00,RAMS FIA,0.25%
2025-06-04 00:00:00,TITANS FIF MULTI,0.29%
2025-06-05 00:00:00,Carteira 1,-0.01%
2025-06-05 00:00:00,CSHG CHIEFS FIA IE,-0.03%
2025-06-05 00:00:00,CSHG YANKEE FIC FIM IE,0.00%
2025-06-05 00:00:00,CSHG YANKEE II CIC FIF - MULT CRED PRIV RESP LIMITADA,-0.04%
2025-06-05 00:00:00,DODGERS FIA,-0.07%
2025-06-05 00:00:00,RAMS FIA,-0.02%
2025-06-05 00:00:00,TITANS FIF MULTI,-0.03%
2025-06-06 00:00:00,Carteira 1,-0.02%
2025-06-06 00:00:00,CSHG CHIEFS FIA IE,-0.08%
2025-06-06 00:00:00,CSHG YANKEE FIC FIM IE,-0.12%
2025-06-06 00:00:00,CSHG YANKEE II CIC FIF - MULT CRED PRIV RESP LIMITADA,-0.09%
2025-06-06 00:00:00,DODGERS FIA,0.05%
2025-06-06 00:00:00,RAMS FIA,-0.10%
2025-06-06 00:00:00,TITANS FIF MULTI,-0.09%
2025-06-09 00:00:00,Carteira 1,0.04%
2025-06-09 00:00:00,CSHG CHIEFS FIA IE,0.02%
2025-06-09 00:00:00,CSHG YANKEE FIC FIM IE,-0.02%
2025-06-09 00:00:00,CSHG YANKEE II CIC FIF - MULT CRED PRIV RESP LIMITADA,0.01%
2025-06-09 00:00:00,DODGERS FIA,0.03%
2025-06-09 00:00:00,RAMS FIA,-0.01%
2025-06-09 00:00:00,TITANS FIF MULTI,0.02%
2025-06-10 00:00:00,Carteira 1,-0.06%
2025-06-10 00:00:00,CSHG CHIEFS FIA IE,0.34%
2025-06-10 00:00:00,CSHG YANKEE FIC FIM IE,0.36%
2025-06-10 00:00:00,CSHG YANKEE II CIC FIF - MULT CRED PRIV RESP LIMITADA,0.38%
2025-06-10 00:00:00,DODGERS FIA,0.15%
2025-06-10 00:00:00,RAMS FIA,0.35%
2025-06-10 00:00:00,TITANS FIF MULTI,0.37%
2025-06-11 00:00:00,Carteira 1,-0.42%
2025-06-11 00:00:00,CSHG CHIEFS FIA IE,-0.40%
2025-06-11 00:00:00,CSHG YANKEE FIC FIM IE,-0.43%
2025-06-11 00:00:00,CSHG YANKEE II CIC FIF - MULT CRED PRIV RESP LIMITADA,-0.40%
2025-06-11 00:00:00,DODGERS FIA,-0.49%
2025-06-11 00:00:00,RAMS FIA,-0.36%
2025-06-11 00:00:00,TITANS FIF MULTI,-0.40%
2025-06-12 00:00:00,Carteira 1,-0.51%
2025-06-12 00:00:00,CSHG CHIEFS FIA IE,0.81%
2025-06-12 00:00:00,CSHG YANKEE FIC FIM IE,0.77%
2025-06-12 00:00:00,CSHG YANKEE II CIC FIF - MULT CRED PRIV RESP LIMITADA,0.81%
2025-06-12 00:00:00,DODGERS FIA,0.57%
2025-06-12 00:00:00,RAMS FIA,0.80%
2025-06-12 00:00:00,TITANS FIF MULTI,0.80%
2025-06-13 00:00:00,Carteira 1,-0.02%
2025-06-13 00:00:00,CSHG CHIEFS FIA IE,0.07%
2025-06-13 00:00:00,CSHG YANKEE FIC FIM IE,0.04%
2025-06-13 00:00:00,CSHG YANKEE II CIC FIF - MULT CRED PRIV RESP LIMITADA,0.06%
2025-06-13 00:00:00,DODGERS FIA,-0.03%
2025-06-13 00:00:00,RAMS FIA,0.11%
2025-06-13 00:00:00,TITANS FIF MULTI,0.08%
2025-06-16 00:00:00,Carteira 1,0.31%
2025-06-16 00:00:00,CSHG CHIEFS FIA IE,0.29%
2025-06-16 00:00:00,CSHG YANKEE FIC FIM IE,0.31%
2025-06-16 00:00:00,CSHG YANKEE II CIC FIF - MULT CRED PRIV RESP LIMITADA,0.33%
2025-06-16 00:00:00,DODGERS FIA,0.12%
2025-06-16 00:00:00,RAMS FIA,0.31%
2025-06-16 00:00:00,TITANS FIF MULTI,0.29%
2025-06-17 00:00:00,Carteira 1,-0.01%
2025-06-17 00:00:00,CSHG CHIEFS FIA IE,-0.24%
2025-06-17 00:00:00,CSHG YANKEE FIC FIM IE,-0.24%
2025-06-17 00:00:00,CSHG YANKEE II CIC FIF - MULT CRED PRIV RESP LIMITADA,-0.27%
2025-06-17 00:00:00,DODGERS FIA,-0.06%
2025-06-17 00:00:00,RAMS FIA,-0.26%
2025-06-17 00:00:00,TITANS FIF MULTI,-0.28%
2025-06-18 00:00:00,Carteira 1,-0.01%
2025-06-18 00:00:00,CSHG CHIEFS FIA IE,0.01%
2025-06-18 00:00:00,CSHG YANKEE FIC FIM IE,0.02%
2025-06-18 00:00:00,CSHG YANKEE II CIC FIF - MULT CRED PRIV RESP LIMITADA,0.02%
2025-06-18 00:00:00,DODGERS FIA,0.05%
2025-06-18 00:00:00,RAMS FIA,-0.03%
2025-06-18 00:00:00,TITANS FIF MULTI,0.02%
2025-06-20 00:00:00,Carteira 1,0.03%
2025-06-20 00:00:00,CSHG CHIEFS FIA IE,-0.11%
2025-06-20 00:00:00,CSHG YANKEE FIC FIM IE,-0.22%
2025-06-20 00:00:00,CSHG YANKEE II CIC FIF - MULT CRED PRIV RESP LIMITADA,-0.15%
2025-06-20 00:00:00,DODGERS FIA,-0.07%
2025-06-20 00:00:00,RAMS FIA,-0.11%
2025-06-20 00:00:00,TITANS FIF MULTI,-0.12%
2025-06-23 00:00:00,Carteira 1,-0.07%
2025-06-23 00:00:00,CSHG CHIEFS FIA IE,0.53%
2025-06-23 00:00:00,CSHG YANKEE FIC FIM IE,2.17%
2025-06-23 00:00:00,CSHG YANKEE II CIC FIF - MULT CRED PRIV RESP LIMITADA,0.18%
2025-06-23 00:00:00,DODGERS FIA,0.07%
2025-06-23 00:00:00,RAMS FIA,0.17%
2025-06-23 00:00:00,TITANS FIF MULTI,0.20%
2025-06-24 00:00:00,Carteira 1,0.02%
2025-06-24 00:00:00,CSHG CHIEFS FIA IE,0.19%
2025-06-24 00:00:00,CSHG YANKEE FIC FIM IE,0.15%
2025-06-24 00:00:00,CSHG YANKEE II CIC FIF - MULT CRED PRIV RESP LIMITADA,0.19%
2025-06-24 00:00:00,DODGERS FIA,0.11%
2025-06-24 00:00:00,RAMS FIA,0.13%
2025-06-24 00:00:00,TITANS FIF MULTI,0.15%
2025-06-25 00:00:00,Carteira 1,-0.23%
2025-06-25 00:00:00,CSHG CHIEFS FIA IE,-0.16%
2025-06-25 00:00:00,CSHG YANKEE FIC FIM IE,-0.17%
2025-06-25 00:00:00,CSHG YANKEE II CIC FIF - MULT CRED PRIV RESP LIMITADA,-0.19%
2025-06-25 00:00:00,DODGERS FIA,0.04%
2025-06-25 00:00:00,RAMS FIA,-0.25%
2025-06-25 00:00:00,TITANS FIF MULTI,-0.17%
2025-06-26 00:00:00,Carteira 1,-0.03%
2025-06-26 00:00:00,CSHG CHIEFS FIA IE,0.15%
2025-06-26 00:00:00,CSHG YANKEE FIC FIM IE,0.11%
2025-06-26 00:00:00,CSHG YANKEE II CIC FIF - MULT CRED PRIV RESP LIMITADA,0.18%
2025-06-26 00:00:00,DODGERS FIA,0.18%
2025-06-26 00:00:00,RAMS FIA,0.16%
2025-06-26 00:00:00,TITANS FIF MULTI,0.15%
2025-06-27 00:00:00,Carteira 1,-0.00%
2025-06-27 00:00:00,CSHG CHIEFS FIA IE,-0.04%
2025-06-27 00:00:00,CSHG YANKEE FIC FIM IE,-0.04%
2025-06-27 00:00:00,CSHG YANKEE II CIC FIF - MULT CRED PRIV RESP LIMITADA,-0.03%
2025-06-27 00:00:00,DODGERS FIA,0.05%
2025-06-27 00:00:00,RAMS FIA,-0.07%
2025-06-27 00:00:00,TITANS FIF MULTI,-0.03%
2025-06-30 00:00:00,Carteira 1,0.28%
2025-06-30 00:00:00,CSHG CHIEFS FIA IE,0.27%
2025-06-30 00:00:00,CSHG YANKEE FIC FIM IE,0.13%
2025-06-30 00:00:00,CSHG YANKEE II CIC FIF - MULT CRED PRIV RESP LIMITADA,0.29%
2025-06-30 00:00:00,DODGERS FIA,0.17%
2025-06-30 00:00:00,RAMS FIA,0.33%
2025-06-30 00:00:00,TITANS FIF MULTI,0.26%
2025-07-01 00:00:00,Carteira 1,-0.01%
2025-07-01 00:00:00,CSHG CHIEFS FIA IE,0.22%
2025-07-01 00:00:00,CSHG YANKEE FIC FIM IE,0.18%
2025-07-01 00:00:00,DODGERS FIA,0.05%
2025-07-01 00:00:00,RAMS FIA,0.23%
2025-07-01 00:00:00,TITANS FIF MULTI,0.24%
